,Label,String,clean_text,encoded_label
0,negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,username tolol tidak hubungan nya keguguran dengan pakai hijab syar i yang kamu bilang bayi nya kepanasan didalem tidak hubungan nya woyyyy otak jempol kamu tidak singkron sih ya nulis komentar,0
1,negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek kamu tata cowok sangat dibela2in balikkan hadeww nanti ditinggal lagi nyalahin tuh cowok kitenya yang oon,0
2,negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kemarin termewek2 sekarang lengket lagi duhhh labil sangat sih mbak kya abege saja atau yang kemarin cari sensasi biar top markotoppp ertong tidak berkualitas,0
3,negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",intinya kesal att nya tidak usah anaknya kasihan perkembangan psikis anak kedepannya orang benar benar tolol sekarang seandainya anak anaknya dikatain orang benci gimana perasaan benci tahu batesnya namanya manusia gaakan penyuka haters,0
4,negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww permpuan lagi sakit jiwa kenapa yang jadi peran utama film hantu jeruk purut ky khabisan stok artis ja,0
5,negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantas tinggalin laki ya lakinya mikir kali perempuannya kayagni urus saja tidak becus gimana urus anak mending anak bapake nya saja benar didiknya,0
6,negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",kebiasaan balajaer nyampah di ig artis suka2 yang ig bikin caption balajaer yang heboh asyik ceramahin yang ig tar lama2 di bikinin lagu sama teh melly loh balajaer yang berjudul balajaer bersabda seonggak koin laknat nya balajaer ngamuk mengiyakan sekali koin laknat nya jadi penggoda di rt nya gigi duh elah balajaer semua tahu kale kelakuan biduan kamu kek minus segala2nya di bela mati2an pada sakit jiwa,0
7,negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,karena rakyat indonesia bodoh tidak membedakan yang yang buruk sudah tahu prilaku buruk tidak tahu sopan santun yang dipilih jadi panutan mengidolakan yang murahan dari pada yang berkelas ber etika,0
8,negative,ayu janda bego pny suami kpn nikah laginya?,ayu janda bodoh punya suami kapan nikah laginya,0
9,negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anyiennnnggg suaranya hancur sekali merdu tukang gorengan,0
10,negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah agama islam 5 cpp cpw saksi wali nikah mas kawin mahar perkara makeup tidak manglingi syarat sah pernikahan tidak makeup syarat yang 5 terpenuhi pernikahannya sah yak emak emak julids,0
11,negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek gatau nih ngerebut pacar orang sudah abang yang ngedukung sifat jeleknya lagi ckck,0
12,negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,username eh situ kids jaman now ya kebanyakan micin mana yang ngina bodoh dipelihara,0
13,negative,Jijik liatnya suer deh minceeee,jijik liatnya suer deh minceeee,0
14,negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",memang tabu ciuman begitu iya memang yang bikin eneg pencitraan nya yang sok alim sok sok bijak sok sok yang lainya seandainya pencitraan sok alim sok suci serius,0
